Vehicle,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Kia Niro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27237,25743,18336,HEV
Hyundai Ioniq Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10770,13068,15558,HEV
Acura MDX Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,2106,2130,HEV
GMC Sierra Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3643,114,HEV
Lexus LC500h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,37,HEV
Nissan Rogue Hybrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363,4205,HEV
Lexus LS 500h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,HEV
Lexus UX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8603,HEV
Toyota Corolla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16299,HEV
Total,17,9350,20282,36042,47566,84233,205876,251864,351071,315763,290273,274648,266501,434648,495535,452172,384400,346949,362868,343219,400746,HEV
Chevy Volt,,,,,,,,,,,,,7671,23461,23094,18805,15393,24739,20349,18306,4915,PEV
Nissan Leaf,,,,,,,,,,,,,9674,9819,22610,30200,17269,14006,11230,14715,12365,PEV
Smart ED,,,,,,,,,,,,,342,139,923,2594,1387,657,544,1219,680,PEV
Mitsubishi I EV,,,,,,,,,,,,,76,588,1029,196,115,94,6,0,0,PEV
BMW Active E,,,,,,,,,,,,,0,673,0,0,0,0,0,0,0,PEV
Prius PHEV,,,,,,,,,,,,,0,12749,12088,13264,4191,2474,20936,27595,23630,PEV
Ford Focus EV,,,,,,,,,,,,,0,683,1738,1964,1582,901,1817,560,0,PEV
Honda Fit EV,,,,,,,,,,,,,0,93,569,407,2,0,0,0,0,PEV
Tesla Model S,,,,,,,,,,,,,0,2400,19400,16750,26200,30200,26500,25745,15090,PEV
Toyota RAV4 EV,,,,,,,,,,,,,0,192,1005,1184,18,0,0,0,0,PEV
Ford C-Max Energi,,,,,,,,,,,,,0,2374,7154,8433,7591,7957,8140,582,0,PEV
Honda Accord,,,,,,,,,,,,,0,0,526,449,64,0,0,0,0,PEV
Ford Fusion Energi,,,,,,,,,,,,,0,0,6089,11550,9750,15938,9632,8074,7476,PEV
Chevy Spark,,,,,,,,,,,,,0,0,560,1145,2629,3035,23,7,0,PEV
Fiat 500E,,,,,,,,,,,,,0,0,260,1503,3477,3737,3336,2250,632,PEV
Porsche Panamera S E-Hybrid,,,,,,,,,,,,,0,0,51,879,407,393,18,2036,1958,PEV
Cadillac ELR,,,,,,,,,,,,,0,0,6,1310,1024,534,17,1,0,PEV
